Timestamp,State of Residence ,Geo-Pol Zone (place of residence),What SIM Do You Use?,What Network Type is Your Sim?,Do You Make Calls?,"If Yes, How Strong is The Network in Your Area?",Do You Send Text Messages?,"If Yes, How Strong is The Network in Your Area?",Do You Browse The Internet?,"If Yes, How Strong is The Network in Your Area?","On a Scale of 0 to 5, Rate The Quality of Service You Experience While Using This Particular SIM.",Kindly Give a Quick Comment On This SIM's Quality of Service (Please Do Express Yourself Clearly).
2022/07/21 7:00:01 PM GMT+1,Oyo,South West,MTN,4G,Yes,5,Yes,5,Yes,4,5,"The quality of my MTN sum is very good and reliable but when the weather is bad, the connectivity is not so good especially when I browse the internet. "
2022/07/21 7:02:18 PM GMT+1,Oyo,South West,Globacom,4G,Yes,4,Yes,4,Yes,3,3,GLO network coverage isn't so good in my area. Browsing the internet is really poor
2022/07/21 8:15:16 PM GMT+1,Lagos,South West,MTN,4G,Yes,4,Yes,5,Yes,4,3,"Sim and service is good but it always depends on the area, there are some areas that network won't work and the rate at which data is being withdrawn is too high and annoying "
2022/07/21 8:31:04 PM GMT+1,Ogun,South West,MTN,3G,Yes,4,Yes,4,Yes,3,4,"It's less stressful, but sometimes the weather makes it's very bad(rainy days)."
2022/07/21 8:33:11 PM GMT+1,Ogun,South West,Globacom,3G,Yes,2,Yes,3,Yes,2,2,Mostly it's very bad 😭
2022/07/22 11:03:03 AM GMT+1,Ogun,South West,Globacom,4G,Yes,4,Yes,4,Yes,4,4,"It's not that bad ,but sometimes network fuck up ,it doesn't happen frequently but just once in a blue moon"
2022/07/22 3:15:01 PM GMT+1,Ondo,South West,MTN,4G,Yes,5,Yes,5,Yes,3,4,"Fairly average network and downloading speeds, not even up to half of the advertised expected speed.. but overall its decent enough for basic downloads and internet operations.. calls are clear and text messages go through. "
2022/07/22 4:28:28 PM GMT+1,Lagos,South West,MTN,4G,Yes,4,Yes,4,Yes,3,4,Great
2022/07/22 5:41:11 PM GMT+1,Ogun,South West,Airtel,4G,Yes,4,Yes,4,Yes,3,3,Get better 
2022/07/22 7:08:22 PM GMT+1,Ondo,South West,MTN,3G,Yes,4,Yes,4,Yes,4,4,It is good expect for data that finish quickly
2022/07/23 7:18:36 AM GMT+1,Ondo,South West,MTN,4G,Yes,4,Yes,4,Yes,3,4,"MTN is actually very good in most circumstances but in my experience, it had made me lose some big opportunities but their is still better compared to Glo or Airtel. "
2022/07/23 7:20:32 AM GMT+1,Ondo,South West,Globacom,3G,Yes,3,Yes,5,Yes,3,3,Good and reliable but only on very important and big occasion they tend to Fuck up
2022/07/23 8:06:58 AM GMT+1,Ogun,South West,MTN,4G,Yes,3,Yes,4,Yes,3,4,Needs improvement
2022/07/23 8:19:43 AM GMT+1,Ogun,South West,Globacom,4G,Yes,2,Yes,3,Yes,2,2,Very bad service
2022/07/23 10:07:21 AM GMT+1,Oyo,South West,Airtel,3G,Yes,3,Yes,3,Yes,2,3,The network is stressing and annoying especially when you have important things to do online
2022/07/23 10:08:31 AM GMT+1,Delta,South South,MTN,4G,Yes,4,Yes,4,Yes,5,4,Good
2022/07/23 10:31:25 AM GMT+1,Abuja,North Central,MTN,4G,Yes,4,Yes,5,Yes,3,4,The network is sometimes poor
2022/07/23 10:35:53 AM GMT+1,Osun,South West,MTN,4G,Yes,3,Yes,3,Yes,3,4,The network is 💯 alright
2022/07/23 10:55:07 AM GMT+1,Lagos,South West,Airtel,4G,Yes,5,Yes,5,Yes,5,5,Airtel is the best network. I swear I've been using just one sim since 5years yeah. 
2022/07/23 11:19:11 AM GMT+1,Oyo,South West,Globacom,4G,Yes,2,Yes,3,Yes,2,3,"My user experience is dependent on my location, even within a location. Take for instance, I might have to leave my room for the kitchen because the network there would probably be better.
 It's so bad that you leave a chair in the sitting room  for another chair in that same sitting room, or you place your phone on your head to tap network..lol

It's a fact also that one network is better in a particular geographical location than the other. Take for instance, I'd prefer to use Glo in Ife and MTN in Ibadan because of where I stay in both places.

In all, the quality of service is frustrating, and the usage is expensive because it's data consuming "
2022/07/23 12:30:05 PM GMT+1,Oyo,South West,MTN,3G,Yes,3,Yes,3,Yes,3,3,It's a very good sim for browsing though it misbehaves after it might have rain..
2022/07/23 12:46:54 PM GMT+1,Oyo,South West,Airtel,3G,Yes,3,No,3,Yes,3,3,It's network is very good in calling but doesn't send messages to another phone..
2022/07/23 1:24:47 PM GMT+1,Kano,North West,MTN,4G,Yes,3,Yes,4,Yes,3,3,"Mtn sim sometimes lacks services and network here, especially in the midnight."
2022/07/23 2:14:13 PM GMT+1,Lagos,South West,Globacom,4G,Yes,5,Yes,5,Yes,5,4,I love Glo
2022/07/23 2:34:59 PM GMT+1,Lagos,South West,Airtel,3G,Yes,4,Yes,4,Yes,4,4,They are trying their best to meet up with their clients needs…
2022/07/23 5:32:55 PM GMT+1,Ogun,South West,MTN,4G,Yes,3,Yes,5,Yes,5,5,It’s actually okay no cap
2022/07/23 5:46:12 PM GMT+1,Oyo,South West,Globacom,4G,Yes,3,Yes,5,Yes,3,2,"Their service is just something else 
So annoying when you can't connect on time😐"
2022/07/23 6:01:53 PM GMT+1,Oyo,South West,MTN,4G,Yes,3,Yes,3,Yes,3,3,Fair
2022/07/23 6:40:08 PM GMT+1,Oyo,South West,Globacom,4G,Yes,3,No,,Yes,3,4,"I feel at ease using this sim, so am comfortable using it"
2022/07/23 6:43:29 PM GMT+1,Ondo,South West,MTN,4G,Yes,4,Yes,4,Yes,4,4,Never stop improving.
2022/07/23 7:01:59 PM GMT+1,Lagos,South West,9mobile,4G,Yes,4,Yes,4,Yes,4,3,"It's okay, but sometimes the network can be so bad. "
2022/07/23 8:01:05 PM GMT+1,Oyo,South West,MTN,4G,Yes,5,Yes,5,Yes,1,0,In all network mtn is the best
2022/07/23 9:49:25 PM GMT+1,Rivers,South South,Airtel,4G,Yes,3,Yes,4,Yes,4,3,My data finishes fast 
2022/07/23 10:32:18 PM GMT+1,Oyo,South West,Airtel,4G,Yes,5,Yes,5,Yes,5,5,👍👍
2022/07/23 11:34:27 PM GMT+1,Oyo,South West,MTN,4G,Yes,3,Yes,3,Yes,3,3,Not bad 
2022/07/24 8:12:54 AM GMT+1,Ogun,South West,MTN,4G,Yes,4,Yes,4,Yes,3,3,The internet experience is bad
2022/07/24 11:15:40 AM GMT+1,Anambra,South East,MTN,4G,Yes,4,Yes,5,Yes,4,4,"The sim is good and easy to use, no big problem associated with it."
2022/07/25 2:46:07 PM GMT+1,Lagos,South West,MTN,4G,Yes,3,Yes,4,Yes,3,3,"Especially that oke ira 
I don’t understand "
2022/07/25 4:58:35 PM GMT+1,Ondo,South West,MTN,4G,Yes,5,Yes,5,Yes,5,5,Mtn is very good in ondo state. 
2022/07/25 4:59:53 PM GMT+1,Ondo,South West,MTN,3G,Yes,3,Yes,4,Yes,3,3,Quality of service is not satisfactory at all.
2022/07/25 5:01:41 PM GMT+1,Ogun,South West,MTN,4G,Yes,5,Yes,5,Yes,5,5,Mtn is good. Everyone is happy using mtn
2022/07/25 5:03:24 PM GMT+1,Ogun,South West,MTN,3G,Yes,4,Yes,3,Yes,4,4,Mtn tries very well even though I am not all that satisfied.
2022/07/25 5:05:36 PM GMT+1,Lagos,South West,MTN,4G,Yes,5,Yes,5,Yes,5,5,Very very awesome. I am so pleased with mtn's quality of service.
2022/07/25 5:06:38 PM GMT+1,Lagos,South West,MTN,3G,Yes,4,Yes,4,Yes,4,5,Very satisfactory and I have no issues at all.
2022/07/25 5:08:58 PM GMT+1,Ondo,South West,Globacom,4G,Yes,5,Yes,4,Yes,4,4,Satisfactory quality of service that works real good.
2022/07/25 5:12:10 PM GMT+1,Ondo,South West,Globacom,3G,Yes,4,Yes,5,Yes,4,4,Good enough for daily operations.
2022/07/25 5:15:27 PM GMT+1,Ogun,South West,Globacom,4G,Yes,5,Yes,5,Yes,4,4,Satisfactory quality of service
2022/07/25 5:18:04 PM GMT+1,Ogun,South West,Globacom,3G,Yes,3,Yes,2,Yes,3,3,Very weak and unsatisfactory. I dont like it at all
2022/07/25 5:19:43 PM GMT+1,Lagos,South West,Globacom,4G,Yes,5,Yes,5,Yes,5,4,Glo is manageable. Gets me through the days work
2022/07/25 5:21:28 PM GMT+1,Lagos,South West,Globacom,3G,Yes,3,Yes,4,Yes,3,3,Not ok
2022/07/25 5:25:48 PM GMT+1,Rivers,South South,MTN,4G,Yes,4,Yes,4,Yes,4,4,I am very OK with the service.
2022/07/25 5:27:09 PM GMT+1,Rivers,South South,MTN,3G,Yes,3,Yes,3,Yes,3,3,Not satisfactory. I wish they'd improve
2022/07/25 5:28:19 PM GMT+1,Rivers,South South,Globacom,4G,Yes,3,Yes,3,Yes,3,3,Glo sulks in port Harcourt
2022/07/25 5:30:32 PM GMT+1,Rivers,South South,Globacom,3G,Yes,2,Yes,2,Yes,2,1,This is a very useless service and they should just stop operations already.
2022/07/25 5:34:10 PM GMT+1,Osun,South West,MTN,4G,Yes,5,Yes,5,Yes,5,5,Very lovely and I am so impressed
2022/07/25 5:38:40 PM GMT+1,Osun,South West,MTN,3G,Yes,4,Yes,5,Yes,4,4,It is manageable and works for more.
2022/07/25 5:42:41 PM GMT+1,Osun,South West,Globacom,4G,Yes,5,Yes,5,Yes,5,5,I like glo very much.
2022/07/25 5:46:31 PM GMT+1,Osun,South West,Globacom,3G,Yes,3,Yes,4,Yes,3,3,Very weak to work with.
2022/07/25 5:49:23 PM GMT+1,Enugu,South East,MTN,4G,Yes,5,Yes,5,Yes,5,5,I greatly advice anybody in Enugu to use mtn. It works so great
2022/07/25 5:59:18 PM GMT+1,Lagos,South West,MTN,4G,Yes,4,Yes,5,Yes,4,5,..
2022/07/25 6:01:22 PM GMT+1,Lagos,South West,Globacom,4G,Yes,3,Yes,3,Yes,3,2,Can be better 
2022/07/25 9:01:21 PM GMT+1,Lagos,South West,MTN,4G,Yes,4,Yes,4,Yes,4,4,It has been good so far
2022/07/25 9:53:55 PM GMT+1,Abuja,North Central,MTN,4G,Yes,3,Yes,4,Yes,3,2,It's been fair but it could be better
2022/07/25 9:55:40 PM GMT+1,Ondo,South West,MTN,4G,Yes,4,Yes,3,Yes,3,4,"Good, MTN is quite reliable... sometimes silly."
2022/07/25 9:57:50 PM GMT+1,Ondo,South West,Airtel,4G,Yes,3,Yes,4,Yes,3,3,"It's good, but can fumble when I need it for something important."
2022/07/25 10:00:44 PM GMT+1,Lagos,South West,MTN,4G,Yes,5,Yes,5,No,,3,Call rates are quiet cheap whilst data services are fair enough according to those who use it as I don’t use it for data.
2022/07/25 10:04:38 PM GMT+1,Oyo,South West,MTN,3G,Yes,2,Yes,2,Yes,2,3,It’s not that good
2022/07/25 10:10:23 PM GMT+1,Akwa-Ibom,South South,MTN,4G,Yes,4,Yes,5,Yes,4,4,Satisfactory 
2022/07/25 10:35:31 PM GMT+1,Ogun,South West,MTN,4G,Yes,2,No,,Yes,2,2,Poor
2022/07/26 12:01:10 AM GMT+1,Lagos,South West,Globacom,4G,Yes,3,Yes,3,Yes,3,2,"Glo has its moment 
Majority of the time it’s bad "
2022/07/26 5:04:25 AM GMT+1,Akwa-Ibom,South South,Airtel,4G,Yes,5,Yes,5,Yes,4,4,"Fast for calls, low sms charges and good for browsing"
2022/07/26 5:36:31 AM GMT+1,Lagos,South West,Airtel,4G,Yes,3,Yes,3,Yes,3,3,It’s good in my area although they’re places I would get to and realize there’s no network or the network is very weak but asides that it’s okay 
2022/07/26 8:21:33 AM GMT+1,Rivers,South South,MTN,4G,Yes,4,Yes,4,Yes,4,4,Reliable if using above 4G broadband 
2022/07/26 2:30:57 PM GMT+1,Lagos,South West,MTN,4G,Yes,5,Yes,5,Yes,4,4,"MTN Network is perfect at times though can be a bit frustrating atimes
"
2022/07/26 9:30:38 PM GMT+1,Lagos,South West,MTN,4G,Yes,3,Yes,4,Yes,4,3,"The charges are too high, especially while charging you based on what they call bonus the network hangs sometimes "
2022/07/26 9:32:34 PM GMT+1,Lagos,South West,Airtel,4G,Yes,4,Yes,4,Yes,4,4,"Their charges are too high, their data cost too is too high"
2022/07/27 9:22:54 AM GMT+1,Oyo,South West,MTN,3G,Yes,3,Yes,3,Yes,3,3,"Not really good, I experience a lot of call drops in my area "
2022/07/27 12:58:50 PM GMT+1,Ondo,South West,MTN,4G,Yes,3,Yes,3,Yes,3,3,Good but there are improvements to be made
2022/07/27 1:14:41 PM GMT+1,Lagos,South West,MTN,4G,Yes,4,No,,Yes,3,3,Not so bad and not so good 
2022/07/27 1:14:53 PM GMT+1,Lagos,South West,MTN,4G,Yes,4,Yes,4,Yes,4,4,MTN have recently launched the 4G+ and it's been amazing for a 5G enabled device.
2022/07/27 1:16:48 PM GMT+1,Lagos,South West,MTN,4G,Yes,4,Yes,5,Yes,5,5,"40mb/s in Nigeria, if that should do.. "
2022/07/27 1:29:02 PM GMT+1,Lagos,South West,MTN,3G,Yes,3,Yes,3,Yes,3,4,Satisfactory 
2022/07/27 1:30:43 PM GMT+1,Bayelsa,South South,9mobile,4G,Yes,4,Yes,4,Yes,1,2,Using Etisalat network in my current location has been really frustrating especially when it comes to browsing
2022/07/27 2:01:46 PM GMT+1,Lagos,South West,MTN,4G,Yes,5,Yes,5,Yes,5,5,I'm that game freak. I find it very amusing i get smooth gameplay during poor weather conditions. MTN's game 🎯.
2022/07/27 3:03:21 PM GMT+1,Oyo,South West,MTN,3G,No,4,No,4,Yes,4,5,It is amazing 
2022/07/27 3:13:15 PM GMT+1,Abuja,North Central,MTN,4G,Yes,3,Yes,3,Yes,3,3,Poor
2022/07/27 4:29:31 PM GMT+1,Lagos,South West,MTN,3G,Yes,5,Yes,5,Yes,5,5,It is a reliable network I guess mtn is everywhere you go indeed!!..It has a very good network quality 
2022/07/27 4:56:20 PM GMT+1,Ondo,South West,MTN,4G,Yes,5,No,,Yes,4,4,The quality of service is okay and can be recommended for new users 
2022/07/27 8:17:28 PM GMT+1,Oyo,South West,MTN,4G,Yes,3,Yes,3,Yes,3,4,Fair 
2022/07/28 6:57:37 AM GMT+1,Ondo,South West,MTN,4G,Yes,4,No,,Yes,4,4,MTN is so far the best sim in Nigeria as of now. The only issue I experience with them is getting to subscribe for a package I didn't give consent.
2022/07/28 7:48:02 AM GMT+1,Ogun,South West,MTN,4G,Yes,4,No,4,Yes,,4,Mtn has a better network quality and reception in places where i work and reside
2022/07/28 7:31:49 PM GMT+1,Lagos,South West,MTN,4G,Yes,3,Yes,2,Yes,2,3,Not too good 😪Mtn needs to improve 
2022/07/28 9:11:52 PM GMT+1,Lagos,South West,MTN,4G,Yes,4,Yes,4,Yes,4,3,"MTN data is too expensive, the volume of data isn't worth, the amount we pay for.
That's my view"
2022/07/28 10:42:13 PM GMT+1,Lagos,South West,MTN,4G,Yes,3,Yes,4,Yes,3,4,It’s call reception is good and clear although for data it’s unstable but still okay.
2022/07/29 10:11:42 AM GMT+1,Ondo,South West,MTN,4G,Yes,3,Yes,4,Yes,4,4,"Experience has been great so far, just that sometimes the network breaks/fluctuates"
2022/07/29 12:14:29 PM GMT+1,Lagos,South West,MTN,4G,No,,Yes,3,Yes,4,3,They actually are trying thier best.
2022/07/29 10:08:06 PM GMT+1,Lagos,South West,MTN,4G,Yes,4,Yes,4,Yes,5,4,Mtn is far better than most service provider
2022/07/29 10:57:43 PM GMT+1,Osun,South West,MTN,4G,Yes,5,Yes,5,Yes,3,3,The browsing network has been very frustrating for the past few weeks. Calls and messages have been going freely.
2022/08/01 10:36:50 AM GMT+1,Zamfara,North West,MTN,2G,Yes,3,Yes,3,Yes,1,1,MTN
2022/08/08 10:33:52 PM GMT+1,Ondo,South West,MTN,3G,Yes,3,Yes,4,Yes,3,3,I'm not pleased using the sim because it doesn't show service due to the fact that I'm still using 3g sim and my phone is 3g phone so I couldn't receive call all time.
2022/08/15 6:57:59 PM GMT+1,Abia,South East,MTN,3G,Yes,4,Yes,4,Yes,5,5,Good quality..I am happy
2022/08/15 7:01:39 PM GMT+1,Abia,South East,MTN,4G,Yes,4,Yes,4,Yes,5,5,Really good performance here.
2022/08/15 7:03:06 PM GMT+1,Abia,South East,MTN,5G,Yes,5,Yes,5,Yes,5,5,I am so in love with my service..very fast and sweet to use.
2022/08/15 7:05:19 PM GMT+1,Abia,South East,Globacom,3G,Yes,4,Yes,4,Yes,2,3,Fair enough..can be improved.
2022/08/15 7:06:23 PM GMT+1,Abia,South East,Globacom,4G,Yes,5,Yes,5,Yes,5,5,Sweet performance that I like.
2022/08/15 7:07:41 PM GMT+1,Abia,South East,Globacom,5G,Yes,5,Yes,5,Yes,5,5,Very great. Really works awesomely.
2022/08/15 7:15:01 PM GMT+1,Abia,South East,Globacom,2G,Yes,3,Yes,3,Yes,2,2,Poor service using this traffic type.
2022/08/15 7:16:11 PM GMT+1,Abia,South East,MTN,2G,Yes,3,Yes,4,Yes,3,3,Really poor service
2022/08/15 9:54:26 PM GMT+1,Abia,South East,Airtel,2G,Yes,2,Yes,2,Yes,2,2,Not good at all. Should be discarded with immediate effect
2022/08/15 9:55:53 PM GMT+1,Abia,South East,Airtel,3G,Yes,3,Yes,3,Yes,3,3,Not too good for use.but better than some.
2022/08/15 9:57:15 PM GMT+1,Abia,South East,Airtel,4G,Yes,5,Yes,5,Yes,4,4,Very good. I am okay with the service I am given.
2022/08/15 9:59:34 PM GMT+1,Abia,South East,9mobile,2G,Yes,1,Yes,2,Yes,1,0,This is the poorest network service using provider that I've ever used. TRASH
2022/08/15 10:01:00 PM GMT+1,Abia,South East,9mobile,3G,Yes,2,Yes,2,Yes,2,1,I hate 9 mobile for real. Very bad quality of service.
2022/08/15 10:02:31 PM GMT+1,Abia,South East,9mobile,4G,Yes,3,Yes,3,Yes,3,3,An average performance from 9mobile. Below average and it is not good when compared to other networks.
2022/08/15 10:04:05 PM GMT+1,Abuja,North Central,MTN,2G,Yes,3,Yes,3,Yes,3,3,Satisfactory. 2G is bad generally so I think a phone or sim upgrade is required.
2022/08/15 10:08:24 PM GMT+1,Abuja,North Central,MTN,3G,Yes,4,Yes,4,Yes,4,4,Quite satisfying and I recommend for anyone in this location
2022/08/15 10:09:11 PM GMT+1,Abuja,North Central,MTN,4G,Yes,5,Yes,5,Yes,5,5,Awesome and fast.. I am in love with MTN
2022/08/15 10:09:57 PM GMT+1,Abuja,North Central,Globacom,2G,Yes,1,Yes,1,Yes,1,1,Very poor and annoying network service performance.
2022/08/15 10:11:24 PM GMT+1,Abuja,North Central,Globacom,3G,Yes,5,Yes,4,Yes,4,4,"We can call and text okay but I think browsing strength needs more work. All the same, this is okay on an average scale"
2022/08/15 10:12:02 PM GMT+1,Abuja,North Central,Globacom,4G,Yes,5,Yes,5,Yes,5,4,Fast and reliable
2022/08/15 10:12:58 PM GMT+1,Abuja,North Central,Airtel,2G,Yes,2,Yes,1,Yes,2,1,Bad quality over here.
2022/08/15 10:14:13 PM GMT+1,Abuja,North Central,Airtel,3G,Yes,2,Yes,2,Yes,3,3,Still needs more work before it can be relaible.
2022/08/15 10:15:14 PM GMT+1,Abuja,North Central,Airtel,4G,Yes,5,Yes,4,Yes,4,4,Very good to use. Reliable and smooth
2022/08/15 10:16:17 PM GMT+1,Abuja,North Central,9mobile,2G,Yes,1,Yes,2,Yes,1,0,"I would give this network a 0 today, tomorrow and forever. I hate it."
2022/08/15 10:18:31 PM GMT+1,Abuja,North Central,9mobile,3G,Yes,4,Yes,4,Yes,3,3,I don't like using 9mobile for anything serious at all. Not satisfied
2022/08/15 10:23:00 PM GMT+1,Abuja,North Central,9mobile,4G,Yes,4,Yes,4,Yes,4,4,This part of 9mobile isn't disappointing at least. It is very ok
2022/08/15 10:52:41 PM GMT+1,Adamawa,North East,MTN,2G,Yes,1,Yes,2,Yes,2,1,This particular traffic type is not good to use. Should not even be in existence over here.
2022/08/15 10:53:59 PM GMT+1,Adamawa,North East,MTN,3G,Yes,3,Yes,2,Yes,2,2,Very faulty and fluctuates. Cannot be relied upon
2022/08/15 10:56:09 PM GMT+1,Adamawa,North East,MTN,4G,Yes,3,Yes,4,Yes,4,4,We use it here and it doesn't disappoint. Unlike in other traffic types like 2g and 3g. This is very good.
2022/08/15 10:56:55 PM GMT+1,Adamawa,North East,Globacom,2G,Yes,2,Yes,1,Yes,2,0,Very poor. Do not use!!
2022/08/15 10:57:40 PM GMT+1,Adamawa,North East,Globacom,3G,Yes,2,Yes,2,Yes,3,3,I am not happy with glo here.
2022/08/15 10:58:32 PM GMT+1,Adamawa,North East,Globacom,4G,Yes,3,Yes,4,Yes,3,3,Not good enough. Lacks speed and steadiness
2022/08/15 10:59:27 PM GMT+1,Adamawa,North East,Airtel,2G,Yes,1,Yes,1,Yes,1,0,Does not deserve to be used. I would always hate it
2022/08/15 11:00:22 PM GMT+1,Adamawa,North East,Airtel,3G,Yes,3,Yes,3,Yes,2,2,Its not good for most operations especially browsing.
2022/08/15 11:01:22 PM GMT+1,Adamawa,North East,Airtel,4G,Yes,3,Yes,3,Yes,3,3,Not OK enough. Very slow
2022/08/15 11:02:01 PM GMT+1,Adamawa,North East,9mobile,2G,Yes,1,Yes,1,Yes,1,0,Very bad network
2022/08/15 11:02:55 PM GMT+1,Adamawa,North East,9mobile,3G,Yes,2,Yes,1,Yes,3,2,Not satisfactory. Should be ditched
2022/08/15 11:03:47 PM GMT+1,Adamawa,North East,9mobile,4G,Yes,5,Yes,5,Yes,3,3,Too bad for 9mobile
2022/08/23 7:01:02 PM GMT+1,Abuja,North Central,MTN,4G,Yes,3,Yes,3,Yes,2,4,"I enjoyed using my MTN 4G sim only that the charge rate is high,  but they are trying. "
2022/11/28 9:14:40 PM GMT+1,Ondo,South West,MTN,4G,Yes,3,Yes,3,Yes,4,3,"MTN, alongside top brands, are playing a major part of the biggest scam in the telecommunications industry "
2022/11/29 11:10:56 PM GMT+1,Ondo,South West,MTN,4G,Yes,2,Yes,3,Yes,1,1,I guess they are tired of been network provider
2022/12/07 9:14:45 PM GMT+1,Osun,South West,MTN,4G,Yes,3,Yes,3,Yes,2,2,"The network is really poor, the only time I actually enjoy browsing is around 1am and it goes back to being rubbish at 6am."
2022/12/07 9:30:03 PM GMT+1,Ondo,South West,MTN,4G,Yes,5,No,,Yes,4,5, I could recommend it
2022/12/07 10:21:04 PM GMT+1,Ogun,South West,Globacom,4G,Yes,4,Yes,4,Yes,4,4,Globacom are actually trying and doing their best
2022/12/08 2:17:13 PM GMT+1,Lagos,South West,MTN,5G,Yes,4,Yes,4,Yes,4,4,"Since the implementation of the 5G network on MTN NG network operator, the quality of the service has dropped drastically and even the 4G network has never been good as it used to be"
2022/12/14 10:42:39 AM GMT+1,Lagos,South West,MTN,3G,Yes,4,Yes,5,Yes,3,2,Mtn network is usually bad most of the time
2022/12/14 12:19:39 PM GMT+1,Lagos,South West,MTN,4G,Yes,4,Yes,3,Yes,4,3,MTN is good but it doesn't work in most places.
2022/12/18 11:33:34 PM GMT+1,Ondo,South West,9mobile,4G,Yes,4,Yes,4,No,1,1,The Internet access provided by this provider is worse 
